# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 1:01:51 AM GMT-04:00 DST to 
# Monday, June 22, 2020 7:28:25 AM GMT-04:00 DST
# 775 samples
#
[1592808502.664306] 1.1.1.1 : [213], 84 bytes, 24.8 ms (28.0 avg, 0% loss)
[1592808532.669684] 1.1.1.1 : [214], 84 bytes, 26.3 ms (28.0 avg, 0% loss)
[1592808562.682349] 1.1.1.1 : [215], 84 bytes, 37.1 ms (28.0 avg, 0% loss)
[1592808592.680829] 1.1.1.1 : [216], 84 bytes, 26.1 ms (28.0 avg, 0% loss)
[1592808622.682006] 1.1.1.1 : [217], 84 bytes, 25.6 ms (28.0 avg, 0% loss)
[1592808652.681284] 1.1.1.1 : [218], 84 bytes, 24.8 ms (28.0 avg, 0% loss)
[1592808682.683618] 1.1.1.1 : [219], 84 bytes, 25.1 ms (28.0 avg, 0% loss)
[1592808712.691249] 1.1.1.1 : [220], 84 bytes, 25.1 ms (28.0 avg, 0% loss)
[1592808742.696836] 1.1.1.1 : [221], 84 bytes, 25.2 ms (27.9 avg, 0% loss)
[1592808772.699729] 1.1.1.1 : [222], 84 bytes, 25.5 ms (27.9 avg, 0% loss)
[1592808802.704754] 1.1.1.1 : [223], 84 bytes, 24.2 ms (27.9 avg, 0% loss)
[1592808832.708028] 1.1.1.1 : [224], 84 bytes, 26.5 ms (27.9 avg, 0% loss)
[1592808862.711923] 1.1.1.1 : [225], 84 bytes, 25.7 ms (27.9 avg, 0% loss)
[1592808892.714644] 1.1.1.1 : [226], 84 bytes, 26.3 ms (27.9 avg, 0% loss)
[1592808922.726401] 1.1.1.1 : [227], 84 bytes, 32.4 ms (27.9 avg, 0% loss)
[1592808952.722442] 1.1.1.1 : [228], 84 bytes, 25.7 ms (27.9 avg, 0% loss)
[1592808982.728914] 1.1.1.1 : [229], 84 bytes, 25.9 ms (27.9 avg, 0% loss)
[1592809012.731142] 1.1.1.1 : [230], 84 bytes, 26.4 ms (27.9 avg, 0% loss)
[1592809042.736683] 1.1.1.1 : [231], 84 bytes, 25.0 ms (27.9 avg, 0% loss)
[1592809072.745745] 1.1.1.1 : [232], 84 bytes, 25.6 ms (27.9 avg, 0% loss)
[1592809102.748746] 1.1.1.1 : [233], 84 bytes, 26.2 ms (27.9 avg, 0% loss)
[1592809132.750664] 1.1.1.1 : [234], 84 bytes, 26.5 ms (27.9 avg, 0% loss)
[1592809162.757726] 1.1.1.1 : [235], 84 bytes, 25.5 ms (27.8 avg, 0% loss)
[1592809192.765869] 1.1.1.1 : [236], 84 bytes, 25.8 ms (27.8 avg, 0% loss)
[1592809222.765234] 1.1.1.1 : [237], 84 bytes, 25.0 ms (27.8 avg, 0% loss)
[1592809252.773814] 1.1.1.1 : [238], 84 bytes, 25.4 ms (27.8 avg, 0% loss)
[1592809282.780673] 1.1.1.1 : [239], 84 bytes, 24.6 ms (27.8 avg, 0% loss)
[1592809312.783636] 1.1.1.1 : [240], 84 bytes, 25.0 ms (27.8 avg, 0% loss)
[1592809342.787675] 1.1.1.1 : [241], 84 bytes, 25.2 ms (27.8 avg, 0% loss)
[1592809372.795039] 1.1.1.1 : [242], 84 bytes, 26.6 ms (27.8 avg, 0% loss)
[1592809402.803151] 1.1.1.1 : [243], 84 bytes, 26.0 ms (27.8 avg, 0% loss)
[1592809432.804827] 1.1.1.1 : [244], 84 bytes, 25.9 ms (27.8 avg, 0% loss)
[1592809462.808627] 1.1.1.1 : [245], 84 bytes, 26.8 ms (27.8 avg, 0% loss)
[1592809492.812934] 1.1.1.1 : [246], 84 bytes, 25.2 ms (27.7 avg, 0% loss)
[1592809522.821457] 1.1.1.1 : [247], 84 bytes, 25.3 ms (27.7 avg, 0% loss)
[1592809552.822637] 1.1.1.1 : [248], 84 bytes, 25.1 ms (27.7 avg, 0% loss)
[1592809582.823590] 1.1.1.1 : [249], 84 bytes, 25.3 ms (27.7 avg, 0% loss)
[1592809612.829228] 1.1.1.1 : [250], 84 bytes, 25.6 ms (27.7 avg, 0% loss)
[1592809642.833303] 1.1.1.1 : [251], 84 bytes, 24.0 ms (27.7 avg, 0% loss)
[1592809672.840462] 1.1.1.1 : [252], 84 bytes, 25.3 ms (27.7 avg, 0% loss)
[1592809702.846348] 1.1.1.1 : [253], 84 bytes, 26.6 ms (27.7 avg, 0% loss)
[1592809732.849176] 1.1.1.1 : [254], 84 bytes, 26.2 ms (27.7 avg, 0% loss)
[1592809762.847675] 1.1.1.1 : [255], 84 bytes, 24.4 ms (27.7 avg, 0% loss)
[1592809792.850394] 1.1.1.1 : [256], 84 bytes, 25.3 ms (27.6 avg, 0% loss)
[1592809822.851801] 1.1.1.1 : [257], 84 bytes, 25.7 ms (27.6 avg, 0% loss)
[1592809852.851476] 1.1.1.1 : [258], 84 bytes, 24.8 ms (27.6 avg, 0% loss)
[1592809882.853646] 1.1.1.1 : [259], 84 bytes, 25.5 ms (27.6 avg, 0% loss)
[1592809912.864109] 1.1.1.1 : [260], 84 bytes, 26.1 ms (27.6 avg, 0% loss)
[1592809942.871733] 1.1.1.1 : [261], 84 bytes, 25.7 ms (27.6 avg, 0% loss)
[1592809972.878824] 1.1.1.1 : [262], 84 bytes, 24.7 ms (27.6 avg, 0% loss)
